Field=Comment~String~Comment~125|Field=Description~String~Description~160|Field=Designator~String~Designator~175|Field=Footprint~String~Footprint~97|Field=LibRef~String~LibRef~97|Field=Quantity~Integer~Quantity~96|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PLC M3.PrjPcb|ReportField=ProjectFullPath~D:\Dropbox\Dropbox\IGAS\Разработки\LORENTZ\CPU\PCB Altium\Version LCP 2.1\Altium\PLC M3.PrjPcb|ReportField=Title~Bill of Materials For Project [PLC M3.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~235|ReportField=ReportTime~1:00:39|ReportField=ReportDate~16.06.2018|ReportField=ReportDateTime~16.06.2018 1:00:39|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~16.06.2018|ReportField=CurrentTime~0:59:50|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Dropbox\Dropbox\IGAS\Разработки\LORENTZ\CPU\PCB Altium\Version LCP 2.1\Altium\ETH_HMI.SchDoc|ReportField=DocumentName~ETH_HMI.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~14.06.2018|ReportField=Organization~|ReportField=ProjectName~PLC M3.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PLC M3.PrjPcb|ReportField=DataSourceFullPath~D:\Dropbox\Dropbox\IGAS\Разработки\LORENTZ\CPU\PCB Altium\Version LCP 2.1\Altium\PLC M3.PrjPcb
Batt Holder CR2032|1734178-1|B1|Batt Holder CR2032|Batt Holder CR2032|1
Tact Switch|KLS7-TS6606-4.3-180|Btn1, Btn2|Tact Switch|Tact Switch|2
6.8n|CC0603KRX7R9BB682, CC0603KRX7R9BB682, CC0603KRX7R9BB682, GRM188R71E104KA01D, GRM188R71E104KA01D, GRM188R71H223KA01D, GRM188R71H223KA01D, GRM188R71H223KA01D, CC0603KRX7R9BB682, CC0603KRX7R9BB682, [NoValue], [NoValue], GRM188R71H223KA01D, GRM188R71E104KA01D, GRM188R71H223KA01D, GRM188R71H223KA01D, CC0603KRX7R9BB682, CC0603KRX7R9BB682, [NoValue], [NoValue]|C1, C22, C26, C28, C29, C30, C35, C45, C48, C50, C52, C55, C58, C63, C64, C65, C67, C69, C71, C74|0603|0603 CAP, 0603 CAP, 0603 CAP, 0805 Cap, 0805 Cap, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0805 Cap, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP|20
10u|TAJA156K010RNJ|C2, C10, C31, C33, C34, C46, C59|1206 Polar|1206 Cap El|7
0.1u|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], GRM188R71E104KA01D, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], GRM188R71E104KA01D, GRM188R71E104KA01D, GRM188R71E104KA01D, GRM188R71E104KA01D, [NoValue], [NoValue], [NoValue], GRM188R71E104KA01D, GRM188R71E104KA01D, GRM188R71E104KA01D|C3, C4, C5, C6, C7, C8, C11, C12, C13, C14, C16, C23, C25, C32, C36, C39, C42, C47, C49, C54, C57, C60, C61, C62, C66, C68, C73|0603|Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, 0805 Cap, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, Capasitor 0805, Capasitor 0805, Capasitor 0805, 0603 CAP, 0603 CAP, 0603 CAP|27
47u|TAJE476K035RNJ|C9, C15|CAP_E_Code|2917 CAP_E|2
18pf|GRM1885C1H180JA01D|C17, C18, C19, C20, C21, C27, C37, C38, C40, C41, C43, C44, C51, C53, C70, C72|0603|Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, 0805 Cap, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP|16
3.3u|TAJA156K010RNJ|C24|1206 Polar|1206 Cap El|1
4.7u|GRM188R61A475KE15D|C56, C75|0603|0603 CAP|2
B360A-13-F||D1, D2|B340A-13-F|B340A-13-F|2
