Field=#~Integer~#~50|Field=Comment~String~Comment~169|Field=Description~String~Description~208|Field=Designator~String~Designator~226|Field=Footprint~String~Footprint~137|Field=LibRef~String~LibRef~247|Field=Quantity~Integer~Quantity~27|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~МЦТР.00010572.00.001.PrjPcb|ReportField=ProjectFullPath~D:\IGAS_Transfer\Lorentz\00. LCP2116\02_Электроника\01_Проект печатной платы\LCP rev 7.2\МЦТР.00010572.00.001.PrjPcb|ReportField=Title~Bill of Materials For Project [МЦТР.00010572.00.001.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~276|ReportField=ReportTime~21:51:44|ReportField=ReportDate~15.02.2026|ReportField=ReportDateTime~15.02.2026 21:51:44|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~15.02.2026|ReportField=CurrentTime~21:51:42|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\IGAS_Transfer\Lorentz\00. LCP2116\02_Электроника\01_Проект печатной платы\LCP rev 7.2\ETH_HMI.SchDoc|ReportField=DocumentName~ETH_HMI.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~17.08.2022|ReportField=Organization~|ReportField=ProjectName~МЦТР.00010572.00.001.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~МЦТР.00010572.00.001.PrjPcb|ReportField=DataSourceFullPath~D:\IGAS_Transfer\Lorentz\00. LCP2116\02_Электроника\01_Проект печатной платы\LCP rev 7.2\МЦТР.00010572.00.001.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Batt Holder CR2032|1734178-1|B1|Batt Holder CR2032|Batt Holder CR2032|1
2|Tact Switch|KLS7-TS6606-4.3-180|Btn1, Btn2|Tact Switch|Tact Switch|2
3|6.8n|CC0603KRX7R9BB682, CC0603KRX7R9BB682, CC0603KRX7R9BB682, GRM188R71E104KA01D, CC0603KRX7R9BB682, CC0603KRX7R9BB682, CC0603KRX7R9BB682, CC0603KRX7R9BB682, [NoValue], [NoValue]|C1, C22, C26, C28, C48, C50, C67, C69, C71, C74|0603|0603 CAP, 0603 CAP, 0603 CAP, 0805 Cap, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP|10
4|22uF|CC1210KKX5R7BB226|C2, C9, C10, C24, C31, C33, C34, C46, C58, C59, C76, C81|1206|0805 Cap|12
5|0.1u|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], GRM188R71E104KA01D, [NoValue], GRM188R71E104KA01D, [NoValue], GRM188R71E104KA01D, [NoValue], [NoValue], [NoValue], GRM188R71E104KA01D, GRM188R71E104KA01D, GRM188R71E104KA01D, GRM188R71E104KA01D, [NoValue], [NoValue], [NoValue], GRM188R71E104KA01D, GRM188R71E104KA01D, GRM188R71E104KA01D, GRM188R71E104KA01D, GRM188R71E104KA01D, GRM188R71E104KA01D, GRM188R71E104KA01D|C3, C4, C5, C6, C7, C8, C11, C12, C13, C14, C16, C23, C25, C29, C32, C35, C36, C39, C42, C47, C49, C54, C57, C60, C61, C62, C63, C66, C68, C73, C77, C78, C79|0603|Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, 0805 Cap, Capasitor 0805, 0603 CAP, Capasitor 0805, 0603 CAP, Capasitor 0805, Capasitor 0805, Capasitor 0805, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, Capasitor 0805, Capasitor 0805, Capasitor 0805, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP|33
6|10uF|GRM31CR61C226ME15L|C15|1206|0805 Cap|1
7|18pf|GRM1885C1H180JA01D|C17, C18, C19, C20, C21, C27, C40, C41, C51, C53, C70, C72|0603|Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, Capasitor 0805, 0805 Cap, Capasitor 0805, Capasitor 0805, 0603 CAP, 0603 CAP, 0603 CAP, 0603 CAP|12
8|22n|GRM188R71H223KA01D|C30, C45|0603|0603 CAP|2
9|10n|CC0603JRX7R9BB103|C52, C55|0603|0603 CAP|2
10|4.7u|GRM188R61A475KE15D|C56, C75|0603|0603 CAP|2
