Comment;Designator;Footprint;Quantity;Part Description;Part Number
;B1;Batt Holder CR2032;1;Battery Holder CR2032;1734178-1
;Btn1, Btn2;Tact Switch;2;Tact Switch;KLS7-TS6606-4.3-180
6.8n;C1, C22, C26, C28, C48, C50, C67, C69, C71, C74;0603;10;50V 6800pF X7R 0603 10%;CC0603KRX7R9BB682
22uF;C2, C9, C10, C24, C31, C33, C34, C46, C59, C81;1206;10;16V 22uF X5R 1206, 16V 22uF X5R 1206, 16V 22uF X5R 1206, 16V 22uF X5R 1206, 16V 22uF X5R 1206 10%, 16V 22uF X5R 1206, 16V 22uF X5R 1206, 16V 22uF X5R 1206, 16V 22uF X5R 1206, 16V 22uF X5R 1206 10%;CC1206KKX5R7BB226
0.1u;C3, C4, C5, C6, C7, C8, C11, C12, C13, C14, C16, C23, C25, C29, C32, C35, C36, C39, C42, C47, C49, C54, C57, C60, C61, C62, C63, C66, C68, C73, C77, C78, C79;0603;33;0.1 uF 100 VDC 10% 0603 X7R;GRM188R72A104KA35D
10uF;C15;1206;1;10UF 50V 10% 1206;GRM31CR61H106KA12L
18pf;C17, C18, C19, C20, C21, C27, C40, C41, C51, C53, C70, C72;0603;12;18 pF 50 VDC 5% 0603 C0G;GRM1885C1H180JA01D
22n;C30, C45;0603;2;0.022UF 50V 10% 0603;GRM188R71H223KA01D
10n;C52, C55;0603;2;50V 0.01uF X7R 0603 5%;CC0603JRX7R9BB103
4.7u;C56, C75;0603;2;16V 4.7uF X5R 0603 10%;CC0603KRX5R7BB475
22uF;C58, C76;1206;2;16V 22uF X5R 1206 10%;CC206KKX5R7BB226
1n;C64, C80;1206;2;2kV 1000pF X7R 1206 10%;CC1206KKX7RDBB102
;D1, D2;B340A-13-F;2;Schottky Diodes & Rectifiers 60V 3A;B360A-13-F
;D4;SOT23;1;Schottky Diodes & Rectifiers Schottky, SOT-23, 30V, 0.2A;BAT54C
;ETH1, ETH2;RJ45;2;RJ45 MagJack;J0011D21BNL
;F1, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13, F14, F15;1210;14;PPTC 30V 50MA;MF-USMF005-2
;F2;Fuse PTS;1;PPTC 30V 300MA;MF-MSMF030-2
;J1;USB B;1;USB B Socket;USBB-1J
;L1, L2, L3, L4, L6, L7, L8, L9;0805;8;Ferrite Beads 1000 OHM 25%  100 MHz;BLM41PG102SN1L
;L5;CDRH127/LDNP-270MC,;1;Power Inductors - SMD 22uH 4.7A;CDRH127/LDNP-220MC
;LED1, LED4, LED7, LED8;0603 - LED;4;0603 Single Colour LED Green;KP-1608SGC
;LED2, LED3, LED5, LED6, LED9, LED10;0603 - LED;6;0603 Single Colour LED Yellow;KP-1608SYC
;LG1, LG2, LG3, LG4, LG5;LED SMD DayLight;5;Light Guide;5151094F
;P1;mcd 1,5/6-G1-3.81;1;PCB Header, 6-Pin, Dual row;MCD 1.5/6-G1-3.81
;P3;PhClass5;1;PCB header;EMSTBA 2.5/5-G-5.08
100k;R1, R9;0603;2;Resistor 0603, 100kOhms, 1%, 1/10W;RC0603FR-07100KL
