[0316/105814:ERROR:backend_impl.cc(2020)] Corrupt Index file
[0316/105814:ERROR:cache_util_win.cc(20)] Unable to move the cache: 5
[0316/105814:ERROR:cache_util.cc(134)] Unable to move cache folder C:\ProgramData\Altium\Altium Designer {38ED491E-C6A5-456C-ACF3-D5C6F2B4D80F}\BrowserCache to C:\ProgramData\Altium\Altium Designer {38ED491E-C6A5-456C-ACF3-D5C6F2B4D80F}\old_BrowserCache_000
[0316/105814:ERROR:cache_creator.cc(129)] Unable to create cache
[0316/105815:INFO:CONSOLE(0)] "The source list for Content Security Policy directive 'script-src' contains an invalid source: ''report-sample''. It will be ignored.", source: https://www.altium.com/ (0)
[0316/105815:INFO:CONSOLE(0)] "Unrecognized Content-Security-Policy directive 'worker-src'.
", source: https://www.altium.com/ (0)
[0316/105815:INFO:CONSOLE(0)] "Synchronous XMLHttpRequest on the main thread is deprecated because of its detrimental effects to the end user's experience. For more help, check https://xhr.spec.whatwg.org/.", source:  (0)
[0316/105815:INFO:CONSOLE(0)] "Setting 'XMLHttpRequest.withCredentials' for synchronous requests is deprecated.", source:  (0)
[0316/105815:INFO:CONSOLE(242)] "Uncaught SyntaxError: Unexpected token {", source: https://www.altium.com/ (242)
[0316/105815:INFO:CONSOLE(280)] "Uncaught TypeError: Cannot read property 'utility' of undefined", source: https://www.altium.com/ (280)
[0316/105815:INFO:CONSOLE(3)] "Uncaught SyntaxError: Unexpected token ...", source: https://js.qualified.com/qualified.js?token=9Ye7VbKcmoDFGWrj (3)
[0316/105816:INFO:CONSOLE(1)] "Uncaught SyntaxError: Unexpected token ...", source: https://cdn-shared.altium.com/production/dams/dams.min.js (1)
[0316/105816:INFO:CONSOLE(3)] "Uncaught SyntaxError: Unexpected token .", source: https://cdn-shared.altium.com/production/drift/driftChat.js (3)
[0316/105816:INFO:CONSOLE(146)] "Uncaught ReferenceError: globalThis is not defined", source: https://www.googletagmanager.com/gtm.js?id=GTM-5LFC7W (146)
[0316/105816:INFO:CONSOLE(412)] "Uncaught SyntaxError: Unexpected token ...", source: https://cdn.files.altium.com/themes/master-1773309766/web/themes/custom/altium_designer_new/js/altium_func.js (412)
[0316/105816:INFO:CONSOLE(1)] "Uncaught SyntaxError: Unexpected token =", source: https://cdn-shared.altium.com/production/navigation_new/app/dist_prod_server_html/footer.js (1)
[0316/105816:INFO:CONSOLE(1)] "Uncaught SyntaxError: Unexpected token ...", source: https://cdn-shared.altium.com/production/navigation_new/app/dist_prod_server_html/header.js (1)
[0316/105816:INFO:CONSOLE(0)] "The source list for Content Security Policy directive 'script-src' contains an invalid source: ''report-sample''. It will be ignored.", source: about:blank (0)
[0316/105816:INFO:CONSOLE(0)] "Unrecognized Content-Security-Policy directive 'worker-src'.
", source: about:blank (0)
[0316/105816:INFO:CONSOLE(144)] "Attempting to initialize MktoForms2 (attempt 1/5)", source: https://www.altium.com/ (144)
[0316/105816:INFO:CONSOLE(159)] "Loading MktoForms2 script", source: https://www.altium.com/ (159)
[0316/105816:INFO:CONSOLE(412)] "Uncaught TypeError: window.DriftChat is not a constructor", source: https://www.altium.com/ (412)
[0316/105816:INFO:CONSOLE(1)] "GSAP target [object NodeList] not found. https://gsap.com", source: https://cdn.files.altium.com/themes/master-1773309766/web/themes/custom/altium_designer_new/html/dist/vendor/gsap/gsap.min.js (1)
[0316/105816:INFO:CONSOLE(1)] "GSAP target  not found. https://gsap.com", source: https://cdn.files.altium.com/themes/master-1773309766/web/themes/custom/altium_designer_new/html/dist/vendor/gsap/gsap.min.js (1)
[0316/105816:INFO:CONSOLE(1)] "GSAP target  not found. https://gsap.com", source: https://cdn.files.altium.com/themes/master-1773309766/web/themes/custom/altium_designer_new/html/dist/vendor/gsap/gsap.min.js (1)
[0316/105816:INFO:CONSOLE(416)] "Uncaught TypeError: window.DriftChat is not a constructor", source: https://www.altium.com/ (416)
[0316/105816:INFO:CONSOLE(7)] "Uncaught (in promise) TypeError: Object.entries is not a function", source: https://cdn.cookielaw.org/scripttemplates/202510.1.0/otBannerSdk.js (7)
[0316/105816:INFO:CONSOLE(11)] "Uncaught TypeError: Object.entries is not a function", source: https://www.altium.com/sites/default/assets/js/js_2TzWm_qgXIAq3qsJzyc4d_mqDFHNiqPlyIwCq2Pm6X8.js?scope=footer&delta=0&language=en&theme=altium_designer_new&include=eJx1UFtuhDAMvNBCjhSZxASzSYxss1tuX9olCFH1w_F4ZvxQIEZjqJuDA_SjcLUHZKO1-DC7D-rCfHKrGhcXhUbrwgR2E1LmAXJnExbsqI5806lGguoFIwkG0yZHVEoVxVd8tyFqW6aaTouq26OVH5NXBAlTO7R1_pLNmTmxf1NMaMfoK9UvwrFZC8gTjd2Ru5GlnBsrvCiBEVc_ZA5PdSOzofyvTwjxog-6uAtuvE6w_4f7uaOHnP0CCc-lui4oGoQWc3-p5nqBEBiLC7xWk-2RmFNGb5Bc2p973cMMX9-XTMok (11)
[0316/105816:INFO:CONSOLE(11)] "Uncaught TypeError: fetchGeoip(...).finally is not a function", source: https://www.altium.com/sites/default/assets/js/js_2TzWm_qgXIAq3qsJzyc4d_mqDFHNiqPlyIwCq2Pm6X8.js?scope=footer&delta=0&language=en&theme=altium_designer_new&include=eJx1UFtuhDAMvNBCjhSZxASzSYxss1tuX9olCFH1w_F4ZvxQIEZjqJuDA_SjcLUHZKO1-DC7D-rCfHKrGhcXhUbrwgR2E1LmAXJnExbsqI5806lGguoFIwkG0yZHVEoVxVd8tyFqW6aaTouq26OVH5NXBAlTO7R1_pLNmTmxf1NMaMfoK9UvwrFZC8gTjd2Ru5GlnBsrvCiBEVc_ZA5PdSOzofyvTwjxog-6uAtuvE6w_4f7uaOHnP0CCc-lui4oGoQWc3-p5nqBEBiLC7xWk-2RmFNGb5Bc2p973cMMX9-XTMok (11)
[0316/105816:INFO:CONSOLE(143)] "Uncaught TypeError: link.closest(...).after is not a function", source: https://cdn-shared.altium.com/production/onetrust/onetrust.js (143)
[0316/105816:INFO:CONSOLE(3)] "cj values -> ", source: https://www.altium.com/sites/default/assets/js/js_psxYSNZSCLnyuDauTxNKxOpqWuPZO-Kq5oiaXhENur8.js?scope=footer&delta=2&language=en&theme=altium_designer_new&include=eJx1UFtuhDAMvNBCjhSZxASzSYxss1tuX9olCFH1w_F4ZvxQIEZjqJuDA_SjcLUHZKO1-DC7D-rCfHKrGhcXhUbrwgR2E1LmAXJnExbsqI5806lGguoFIwkG0yZHVEoVxVd8tyFqW6aaTouq26OVH5NXBAlTO7R1_pLNmTmxf1NMaMfoK9UvwrFZC8gTjd2Ru5GlnBsrvCiBEVc_ZA5PdSOzofyvTwjxog-6uAtuvE6w_4f7uaOHnP0CCc-lui4oGoQWc3-p5nqBEBiLC7xWk-2RmFNGb5Bc2p973cMMX9-XTMok (3)
[0316/105817:INFO:CONSOLE(144)] "Attempting to initialize MktoForms2 (attempt 2/5)", source: https://www.altium.com/ (144)
[0316/105817:INFO:CONSOLE(146)] "MktoForms2 found, registering form handler", source: https://www.altium.com/ (146)
[0316/105817:INFO:CONSOLE(149)] "Registering onFormRender handler for dynamically added forms", source: https://www.altium.com/ (149)
[0316/105830:INFO:CONSOLE(175)] "Timeout reached waiting for MktoForms2", source: https://www.altium.com/ (175)
[0316/105952:INFO:CONSOLE(1)] "GSAP target  not found. https://gsap.com", source: https://cdn.files.altium.com/themes/master-1773309766/web/themes/custom/altium_designer_new/html/dist/vendor/gsap/gsap.min.js (1)
[0316/105952:INFO:CONSOLE(1)] "GSAP target  not found. https://gsap.com", source: https://cdn.files.altium.com/themes/master-1773309766/web/themes/custom/altium_designer_new/html/dist/vendor/gsap/gsap.min.js (1)
[0321/072200:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
